Accession,Host,Species,Genus,Length,Collection_Date,Bat_host
MH891587.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28024,19/04/2018,N
MH891588.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28024,21/02/2017,N
LC063828.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27322,2014-10,N
KU982973.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28000,12/11/2015,N
KU982974.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27994,06/10/2015,N
KU982975.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28004,26/10/2015,N
KU982976.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27995,22/10/2015,N
KU982970.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28004,06/11/2015,N
KU982977.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28003,05/11/2015,N
KU982978.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28003,04/12/2015,N
KU982979.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28003,04/11/2015,N
KU982968.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27995,06/11/2015,N
KU982980.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28000,20/10/2015,N
KU982971.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28004,09/01/2015,N
LC063827.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-03,N
LC063826.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
LC063825.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-05,N
KU982981.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28004,19/10/2015,N
MH891590.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28024,06/02/2018,N
KX064280.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28036,20/10/2014,N
KU252649.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28077,08/05/2014,N
KU646831.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28036,2012,N
MH891589.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28024,19/01/2018,N
KU380331.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,01/05/2015,N
KU982972.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28004,22/10/2015,N
LC364345.1,Galliformes,Quail coronavirus UAE-HKU30,Deltacoronavirus,25874,23/06/2013,N
LC364346.1,Galliformes,Quail coronavirus UAE-HKU30,Deltacoronavirus,25871,19/02/2014,N
MH532440.1,Coturnix japonica,Quail deltacoronavirus,Deltacoronavirus,25881,03/03/2015,N
NC_017083.1,Oryctolagus cuniculus,Rabbit coronavirus HKU14,Betacoronavirus,31100,2006,N
MN611522.1,Rhinolophus affinis,Rhinolophus affinis bat coronavirus HKU2-related,Alphacoronavirus,26956,2018-03,Y
MF370205.1,Sus scrofa,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,27155,2017,N
MH697599.1,Sus scrofa,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,27183,2017-02,N
MF167434.1,Sus scrofa,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,27171,06/03/2017,N
MH539766.1,Sus scrofa,Rhinolophus bat coronavirus HKU2,Alphacoronavirus,27170,2017-07,N
MK720945.1,Rhinolophus sinicus,Rhinolophus bat coronavirus HKU32,Alphacoronavirus,29201,06/08/2015,Y
MK720946.1,Rhinolophus sinicus,Rhinolophus bat coronavirus HKU32,Alphacoronavirus,29201,06/08/2015,Y
KJ473807.1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,27608,2013,Y
NC_028814.1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,27608,2013,Y
KJ473810.1,Myotis sp.,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,27576,2013,Y
NC_046954.1,Myodes rufocanus,Rodent coronavirus,,31393,2014-08,N
MN611517.1,Rousettus aegyptiacus,Rousettus aegyptiacus bat coronavirus 229E-related,Alphacoronavirus,27619,2018-03,Y
KU762338.1,Rousettus leschenaultii,Rousettus bat coronavirus GCCDC1,Betacoronavirus,30161,28/05/2014,Y
MT350598.1,Eonycteris spelaea,Rousettus bat coronavirus GCCDC1,Betacoronavirus,30162,2016-10,Y
NC_030886.1,Rousettus leschenaultii,Rousettus bat coronavirus GCCDC1,Betacoronavirus,30161,28/05/2014,Y
HM211101.1,Chiroptera,Rousettus bat coronavirus HKU9,Betacoronavirus,29122,10/04/2006,Y
MG762674.1,Rousettus sp.,Rousettus bat coronavirus HKU9,Betacoronavirus,29134,01/11/2009,Y
NC_009021.1,Chiroptera,Rousettus bat coronavirus HKU9,Betacoronavirus,29114,,Y
EF065513.1,Chiroptera,Rousettus bat coronavirus HKU9,Betacoronavirus,29114,,Y
HM211100.1,Chiroptera,Rousettus bat coronavirus HKU9,Betacoronavirus,29136,10/04/2006,Y
EF065514.1,Chiroptera,Rousettus bat coronavirus HKU9,Betacoronavirus,29107,,Y
EF065516.1,Chiroptera,Rousettus bat coronavirus HKU9,Betacoronavirus,29155,,Y
HM211098.1,Chiroptera,Rousettus bat coronavirus HKU9,Betacoronavirus,29136,11/12/2005,Y
EF065515.1,Chiroptera,Rousettus bat coronavirus HKU9,Betacoronavirus,29136,,Y
HM211099.1,Chiroptera,Rousettus bat coronavirus HKU9,Betacoronavirus,29112,11/12/2005,Y
KT444582.1,Rhinolophus sinicus,SARS-like coronavirus WIV16,Betacoronavirus,30290,21/07/2013,Y
MN611521.1,Scotophilus kuhlii,Scotophilus kuhlii bat coronavirus 512-related,Alphacoronavirus,27933,2018-03,Y
NC_046955.1,Sorex araneus,Shrew coronavirus,,27102,2014-12,N
JQ065045.1,Passeridae,Sparrow coronavirus HKU17,Deltacoronavirus,26083,2007,N
NC_016992.1,Passeridae,Sparrow coronavirus HKU17,Deltacoronavirus,26083,2007,N
MG812378.1,Passeridae,Sparrow deltacoronavirus,Deltacoronavirus,25685,2017,N
MG812375.1,Passeridae,Sparrow deltacoronavirus,Deltacoronavirus,25795,2017,N
MG812376.1,Passeridae,Sparrow deltacoronavirus,Deltacoronavirus,25796,2017,N
MG812377.1,Passeridae,Sparrow deltacoronavirus,Deltacoronavirus,25710,2017,N
MK994934.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27165,2017,N
MF769435.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MT199592.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27178,09/09/2018,N
MK994937.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27109,2018-10,N
MF769436.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769437.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769438.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769439.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MT747186.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27163,2017-02,N
MF769441.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MT747187.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27163,2017-02,N
MF769442.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769443.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769444.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MG557844.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27163,2017-04,N
MT747188.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27163,2017-02,N
MF769440.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF094681.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,,N
MF769428.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769433.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF094682.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,,N
MF094683.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,,N
MF094684.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,,N
MT039231.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27171,,N
MF769416.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769417.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769418.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MK651076.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27163,2019-02,N
MT039232.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27271,,N
MF769419.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769420.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769434.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MH615810.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27184,2018-03,N
MF769422.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769421.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MK994935.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27165,2018-03,N
MF769431.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769430.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769423.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MT199591.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27162,08/04/2016,N
MK994936.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27107,2018-07,N
MF769427.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769429.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769425.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769424.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MG605090.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27163,26/02/2017,N
MG605091.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27163,09/08/2016,N
MF769426.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF769432.1,Sus scrofa,Swine acute diarrhea syndrome coronavirus,Alphacoronavirus,27173,2017,N
MF094688.1,Rhinolophus,Swine acute diarrhea syndrome related coronavirus,,27177,,Y
MF094687.1,Rhinolophus,Swine acute diarrhea syndrome related coronavirus,,27174,,Y
MF094686.1,Rhinolophus,Swine acute diarrhea syndrome related coronavirus,,27198,,Y
MF094685.1,Rhinolophus,Swine acute diarrhea syndrome related coronavirus,,27200,,Y
MK977618.1,Sus scrofa,Swine enteric alphacoronavirus,Alphacoronavirus,27155,2018,N
FJ376621.1,Turdus hortulorum,Thrush coronavirus HKU12-600,Deltacoronavirus,26396,2007-01,N
NC_011549.1,Turdus hortulorum,Thrush coronavirus HKU12-600,Deltacoronavirus,26396,2007-01,N
MK720944.1,Tylonycteris robustula,Tylonycteris bat coronavirus HKU33,Alphacoronavirus,27636,09/09/2015,Y
NC_009019.1,Chiroptera,Tylonycteris bat coronavirus HKU4,Betacoronavirus,30286,,Y
NC_035191.1,Suncus murinus,Wencheng Sm shrew coronavirus,Alphacoronavirus,25995,2015,N
NC_048211.1,Suncus murinus,Wencheng Sm shrew coronavirus,Alphacoronavirus,25984,2015,N
JQ065044.1,Zosteropidae,White-eye coronavirus HKU16,Deltacoronavirus,26041,2007,N
NC_016991.1,Zosteropidae,White-eye coronavirus HKU16,Deltacoronavirus,26041,2007,N
NC_016995.1,Mareca,Wigeon coronavirus HKU20,Deltacoronavirus,26227,2008,N
JQ065048.1,Mareca,Wigeon coronavirus HKU20,Deltacoronavirus,26227,2008,N
